
1990, 2005, 2011, 2012, 2013, 2014, 2015, 2016, 2005–2016
Canada, 603, 732, 700, 707, 716, 716, 714, 704, -3.8%
NL, 9.3, 9.9, 10.0, 9.4, 9.4, 10.4, 10.6, 10.8, 8.7%
PE, 1.9, 2.0, 2.1, 2.0, 1.7, 1.7, 1.7, 1.8, -10%
NS, 19.6, 23.2, 20.9, 19.2, 18.2, 16.4, 16.6, 15.6, -33%
NB, 16.1, 20.1, 18.7, 16.8, 14.8, 14.4, 14.3, 15.3, -24%
QC, 86.6, 86.5, 81.7, 79.5, 79.9, 78.0, 78.4, 77.3, -11%
ON, 179.2, 204.7, 172.5, 169.1, 168.4, 165.4, 162.9, 160.6, -22%
MB, 18.3, 20.2, 19.0, 20.2, 20.9, 20.9, 20.8, 20.9, 3.5%
SK, 44.7, 68.9, 69.0, 71.3, 74.0, 77.4, 79.5, 76.3, 10.7%
AB, 174.1, 231.0, 243.8, 256.1, 264.9, 268.6, 266.9, 262.9, 14%
BC, 51.1, 63.3, 59.3, 60.3, 60.9, 60.4, 59.4, 60.1, -5.1%
YT, 0.5, 0.5, 0.7, 0.7, 0.6, 0.4, 0.5, 0.4, -19%
NT, NA, 1.6, 1.4, 1.5, 1.4, 1.5, 1.7, 1.6, 3%
NU, NA, 0.4, 0.5, 0.6, 0.7, 0.7, 0.6, 0.7, 58%
